INDNO,MthCalDt,MthPrcRet,Federal_Funds_Effective_Rate,Total_Federal_Outlays,House_Price_Index,Unemployment_Rate,Confidence_Indicators,CPI_in_NE,PPI_all_commodities,Realtime_SahmRule_Recession_Indicators
1000500,1990-01-31,-0.069407,8.23,91242,76.527,5.4,100.6482954,132.9,114.9,0.13
1000500,1990-02-28,0.008986,8.24,100348,76.587,5.3,100.630219,133.1,114.4,0.13
1000500,1990-03-30,0.02436,8.28,118128,76.79,5.2,100.6992457,134.1,114.2,0.1
1000500,1990-04-30,-0.026508,8.26,97775,77.038,5.4,100.7517631,134.5,114.1,0.13
1000500,1990-05-31,0.092408,8.18,111668,77.297,5.4,100.6218033,134.7,114.6,0.13
1000500,1990-06-29,-0.008921,8.29,121706,77.505,5.2,100.335956,134.9,114.3,0.03
1000500,1990-07-31,-0.006508,8.15,98253,77.561,5.5,99.85312772,136,114.5,0.07
1000500,1990-08-31,-0.094897,8.13,131181,77.479,5.7,99.07843089,137.4,116.5,0.17
1000500,1990-09-28,-0.051213,8.2,82171,77.229,5.9,98.33418755,138.6,118.4,0.33
1000500,1990-10-31,-0.00611,8.11,108350,76.912,5.9,97.73936212,139.4,120.8,0.4
1000500,1990-11-30,0.059897,7.81,118230,76.381,6.2,97.52813084,139.7,120.1,0.5
1000500,1990-12-31,0.024954,7.31,109287,75.972,6.3,97.59234688,139.7,118.7,0.6
1000500,1991-01-31,0.043063,6.91,99062,75.533,6.4,97.9410814,140.9,119,0.77
1000500,1991-02-28,0.067371,6.25,93848,75.249,6.6,98.57728607,141.2,117.2,0.97
1000500,1991-03-28,0.022312,6.12,105978,75.136,6.8,99.30277418,141.4,116.2,1.2
1000500,1991-04-30,0.000214,5.91,110371,75.315,6.7,99.50768977,141.6,116,1.3
1000500,1991-05-31,0.038759,5.78,116926,75.768,6.9,99.49061877,141.7,116.5,1.43
1000500,1991-06-28,-0.047498,5.9,105968,76.253,6.9,99.55604136,142.1,116.4,1.5
1000500,1991-07-31,0.044799,5.82,119424,76.517,6.8,99.61755332,142.4,116.1,1.53
1000500,1991-08-30,0.019912,5.66,120075,76.594,6.9,99.58176588,142.9,116.2,1.4
1000500,1991-09-30,-0.019061,5.45,116237,76.575,6.9,99.38138793,143.6,116.1,1.17
1000500,1991-10-31,0.011899,5.21,114659,76.29,7,98.90459501,143.7,116.4,1.1
1000500,1991-11-29,-0.043973,4.81,117779,76.03,7,98.31364997,144.3,116.4,1
1000500,1991-12-31,0.111476,4.43,106170,75.844,7.3,97.96595506,144.6,115.9,1
1000500,1992-01-31,-0.019654,4.03,119699,75.7,7.3,97.91716382,144.9,115.6,0.93
1000500,1992-02-28,0.009442,4.06,111927,75.655,7.4,98.16245756,145.3,116,0.9
1000500,1992-03-31,-0.021873,3.98,122839,75.814,7.4,98.60256666,146.2,116.1,0.77
1000500,1992-04-30,0.027157,3.73,123748,76.08,7.4,98.95219237,146.3,116.3,0.67
1000500,1992-05-29,0.001087,3.82,108957,76.398,7.6,99.15124543,146.3,117.2,0.63
1000500,1992-06-30,-0.017545,3.76,117096,76.602,7.8,99.15711161,147,118,0.73
1000500,1992-07-31,0.039465,3.25,122197,76.711,7.7,98.98208412,147.5,117.9,0.87
1000500,1992-08-31,-0.024214,3.3,102843,76.732,7.6,98.82938871,148.2,117.7,0.9
1000500,1992-09-30,0.008916,3.22,112879,76.628,7.6,98.81888877,148.5,118,0.8
1000500,1992-10-30,0.003455,3.1,125620,76.598,7.3,99.08065936,148.9,118.1,0.67
